code,name,first_trade_date,first_vol,publish_price,current_vol,treasury_shares,publish_vol,foreign_owner,foreign_owner_ratio,foreign_vol_remain,current_price,market_capital,category,exchanges
PPP,CTCP Dược phẩm Phong Phú,18/07/2011,2200000.0,15.0,9023566.0,0.0,9023566.0,2940000.0,32.581354200767194,2937200.0,16.3,147.1,duocpham,HNX
ALT,CTCP Văn hóa Tân Bình,22/11/2006,1334700.0,32.0,5300895.0,435814.0,5736709.0,3024536.0,52.72249298334637,2765059.0,14.9,85.5,giaoduc,HNX
BDB,CTCP Sách và Thiết bị Bình Định,29/01/2010,1126474.0,11.0,1126474.0,0.0,1126474.0,551972.0,48.999976919129956,551972.0,12.2,13.7,giaoduc,HNX
BED,CTCP Sách và Thiết bị Trường học Đà Nẵng,21/10/2009,3000000.0,30.0,3000000.0,0.0,3000000.0,1470000.0,49.0,1470000.0,46.0,138.0,giaoduc,HNX
BST,CTCP Sách và Thiết bị Bình Thuận,18/12/2008,1100000.0,14.0,1100000.0,0.0,1100000.0,539000.0,49.0,528000.0,17.9,19.7,giaoduc,HNX
DAD,CTCP Đầu tư và Phát triển Giáo dục Đà Nẵng,19/08/2009,5000000.0,15.9,4976000.0,12000.0,4988000.0,2450000.0,49.11788291900561,988200.0,24.4,121.7,giaoduc,HNX
DAE,CTCP Sách Giáo dục tại Thành phố Đà Nẵng,28/12/2006,500000.0,31.4,1498680.0,0.0,1498680.0,734353.0,48.999986654923,405295.0,24.4,36.6,giaoduc,HNX
DST,CTCP Đầu tư Sao Thăng Long,16/10/2007,1000000.0,68.2,32300000.0,0.0,32300000.0,8085000.0,25.03095975232198,8076900.0,5.9,190.6,giaoduc,HNX
EBS,CTCP Sách Giáo dục tại Thành phố Hà Nội,21/12/2006,2554871.0,72.9,9658084.0,280700.0,9938784.0,5007547.0,50.38390008274655,3564363.0,10.5,104.4,giaoduc,HNX
ECI,CTCP Bản đồ và Tranh ảnh Giáo dục,16/06/2009,1860000.0,17.3,1860000.0,0.0,1860000.0,911400.0,49.0,188500.0,48.0,89.3,giaoduc,HNX
EID,CTCP Đầu tư và Phát triển Giáo dục Hà Nội,11/08/2009,8000000.0,26.1,15000000.0,0.0,15000000.0,7350000.0,49.0,4880263.0,24.7,370.5,giaoduc,HNX
HBE,CTCP Sách thiết bị Trường học Hà Tĩnh,22/02/2008,1000000.0,38.7,2231058.0,0.0,2231058.0,1093218.0,48.999981174850674,1085218.0,7.5,16.7,giaoduc,HNX
HEV,CTCP Sách Đại học Dạy nghề,11/12/2007,1000000.0,78.7,1000000.0,0.0,1000000.0,490000.0,49.0,123710.0,15.9,15.9,giaoduc,HNX
HTP,CTCP In Sách Giáo khoa Hòa Phát,14/12/2006,900000.0,27.6,1713380.0,45800.0,1759180.0,884440.0,50.27569663138508,878880.0,31.0,54.5,giaoduc,HNX
LBE,CTCP Sách và Thiết bị Trường học Long An,22/02/2008,1100000.0,39.5,1091800.0,4100.0,1095900.0,539000.0,49.1833196459531,509200.0,27.0,29.6,giaoduc,HNX
QST,CTCP Sách và Thiết bị Trường học Quảng Ninh,16/02/2009,1350000.0,20.3,3240000.0,0.0,3240000.0,793800.0,24.5,793600.0,14.3,46.3,giaoduc,HNX
SED,CTCP Đầu tư và Phát triển Giáo dục Phương Nam,19/08/2009,8000000.0,20.1,10000000.0,0.0,10000000.0,4900000.0,49.0,2590090.0,23.0,230.0,giaoduc,HNX
SGD,CTCP Sách Giáo dục tại Thành phố Hồ Chí Minh,28/12/2006,1000000.0,50.0,3937000.0,100000.0,4037000.0,2027130.0,50.213772603418384,1563030.0,11.0,44.4,giaoduc,HNX
SMN,CTCP Sách và Thiết bị Giáo dục Miền Nam,14/07/2015,4405000.0,12.0,4405000.0,0.0,4405000.0,2158450.0,49.0,2158450.0,14.0,61.7,giaoduc,HNX
STC,CTCP Sách và Thiết bị Trường học Thành phố Hồ Chí Minh,27/12/2006,2880000.0,88.9,5095930.0,284800.0,5380730.0,2776109.0,51.593538423225105,2122109.0,20.0,107.6,giaoduc,HNX
TPH,CTCP In sách giáo khoa tại Thành phố Hà Nội,15/12/2006,1200000.0,30.7,2015985.0,0.0,2015985.0,987832.0,48.99996775769661,923028.0,11.8,23.8,giaoduc,HNX
ARM,CTCP Xuất nhập khẩu Hàng không,26/10/2010,2592740.0,21.5,3111283.0,0.0,3111283.0,1270442.0,40.833379670058946,1025642.0,45.0,140.0,hk,HNX
MAS,CTCP Dịch vụ Hàng không Sân bay Đà Nẵng,15/07/2014,3008816.0,57.2,8881979.0,0.0,8881979.0,1474319.0,16.598992184061682,886655.0,42.0,373.0,hk,HNX
ACM,CTCP Tập đoàn Khoáng sản Á Cường,23/07/2015,51000000.0,10.5,51000000.0,0.0,51000000.0,24990000.0,49.0,24603100.0,3.4,173.4,khoangsan,HNX
AMC,CTCP Khoáng sản Á Châu,15/02/2012,2850000.0,12.0,2850000.0,0.0,2850000.0,1396500.0,49.0,1351700.0,25.8,73.5,khoangsan,HNX
BKC,CTCP khoáng sản Bắc Kạn,18/08/2009,3748300.0,48.2,11345328.0,196200.0,11541528.0,5751486.0,49.83296839032059,5737815.0,8.2,94.6,khoangsan,HNX
HGM,CTCP Cơ khí và Khoáng sản Hà Giang,21/12/2009,6000000.0,69.0,12600000.0,0.0,12600000.0,6174000.0,49.0,5983400.0,43.2,544.3,khoangsan,HNX
HPM,CTCP Xây dựng Thương mại và Khoáng Sản Hoàng Phúc,18/01/2016,3800000.0,10.5,3800000.0,0.0,3800000.0,1862000.0,49.0,1862000.0,10.4,39.5,khoangsan,HNX
